URL,Version,Status,OIDs,Name,Title,Description,Used
http://example.org/CodeSystem/GENCountriesCS,0.1.0,draft,,GENCountriesCS,GEN - Countries,"","ValueSet/GENCountriesVS"
http://example.org/CodeSystem/HIVANCHIVStatusFirstVisitCS,0.1.0,draft,,HIVANCHIVStatusFirstVisitCS,HIV - ANC HIV status first visit,"","ValueSet/HIVANCHIVStatusFirstVisitVS"
http://example.org/CodeSystem/HIVARTStopReasonsCS,0.1.0,draft,,HIVARTStopReasonsCS,HIV - ART stop reasons,"","ValueSet/HIVARTStopReasonsVS"
http://example.org/CodeSystem/HIVCervicalCancerDiagnosisCS,0.1.0,draft,,HIVCervicalCancerDiagnosisCS,HIV - Cervical cancer diagnosis,"","ValueSet/HIVCervicalCancerDiagnosisVS"
http://example.org/CodeSystem/HIVCervicalCancerScreeningOutcomeCS,0.1.0,draft,,HIVCervicalCancerScreeningOutcomeCS,HIV - Cervical cancer screening outcome,"","ValueSet/HIVCervicalCancerScreeningOutcomeVS"
http://example.org/CodeSystem/HIVCervicalCancerTreatmentTypeCS,0.1.0,draft,,HIVCervicalCancerTreatmentTypeCS,HIV - Cervical cancer: treatment type,"","ValueSet/HIVCervicalCancerTreatmentTypeVS"
http://example.org/CodeSystem/HIVDSDARTModelSCS,0.1.0,draft,,HIVDSDARTModelSCS,HIV - DSD ART model(s),"","ValueSet/HIVDSDARTModelSVS"
http://example.org/CodeSystem/HIVExperienceCS,0.1.0,draft,,HIVExperienceCS,HIV - Experience,"","ValueSet/HIVExperienceVS"
http://example.org/CodeSystem/HIVFacilityLevelTestingEntryPointCS,0.1.0,draft,,HIVFacilityLevelTestingEntryPointCS,HIV - Facility level testing entry point,"","ValueSet/HIVFacilityLevelTestingEntryPointVS"
http://example.org/CodeSystem/HIVFollowUpMethodsCS,0.1.0,draft,,HIVFollowUpMethodsCS,HIV - Follow-up Methods,"","ValueSet/HIVFollowUpMethodsVS"
http://example.org/CodeSystem/HIVFollowUpOutcomesCS,0.1.0,draft,,HIVFollowUpOutcomesCS,HIV - Follow-up Outcomes,"","ValueSet/HIVFollowUpOutcomesVS"
http://example.org/CodeSystem/HIVGenderCS,0.1.0,draft,,HIVGenderCS,HIV - Gender,"","ValueSet/HIVGenderVS"
http://example.org/CodeSystem/HIVHBVTreatmentStatusCS,0.1.0,draft,,HIVHBVTreatmentStatusCS,HIV - HBV treatment status,"","ValueSet/HIVHBVTreatmentStatusVS"
http://example.org/CodeSystem/HIVHCVMedicineTypeCS,0.1.0,draft,,HIVHCVMedicineTypeCS,HIV - HCV medicine type,"","ValueSet/HIVHCVMedicineTypeVS"
http://example.org/CodeSystem/HIVHCVTestTypeCS,0.1.0,draft,,HIVHCVTestTypeCS,HIV - HCV test type,"","ValueSet/HIVHCVTestTypeVS"
http://example.org/CodeSystem/HIVHCVTreatmentStatusCS,0.1.0,draft,,HIVHCVTreatmentStatusCS,HIV - HCV treatment status,"","ValueSet/HIVHCVTreatmentStatusVS"
http://example.org/CodeSystem/HIVHCVViralLoadCS,0.1.0,draft,,HIVHCVViralLoadCS,HIV - HCV viral load,"","ValueSet/HIVHCVViralLoadVS"
http://example.org/CodeSystem/HIVHIVTestHIVSelfTestUseCS,0.1.0,draft,,HIVHIVTestHIVSelfTestUseCS,HIV - HIV test: HIV self-test - Use,"","ValueSet/HIVHIVTestHIVSelfTestUseVS"
