Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hiv.tracker.json	22455	-	0	0	0	0	0	0	6	235	0	0	0	0	0	0	0	1	0	0	136	184	0	0	0	0	33	0	1
fsh-generated/resources/CodeSystem-GENCountriesCS.json	16571	9	0	0	1	0	1	0	3	82	0	0	1	0	0	0	0	1	0	0	107	2763	0	0	0	0	13	0	0
fsh-generated/resources/CodeSystem-HIVANCHIVStatusFirstVisitCS.json	750	5	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	31	54	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVARTStopReasonsCS.json	1080	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	29	47	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVCervicalCancerDiagnosisCS.json	770	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	29	48	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVCervicalCancerScreeningOutcomeCS.json	847	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	30	42	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVCervicalCancerTreatmentTypeCS.json	1226	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	43	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVDSDARTModelSCS.json	1164	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	29	39	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVExperienceCS.json	843	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVFacilityLevelTestingEntryPointCS.json	1198	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVFollowUpMethodsCS.json	798	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	37	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVFollowUpOutcomesCS.json	1097	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	26	37	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVGenderCS.json	745	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	25	37	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVHBVTreatmentStatusCS.json	704	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVHCVMedicineTypeCS.json	706	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	37	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVHCVTestTypeCS.json	751	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	37	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVHCVTreatmentStatusCS.json	773	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	16	36	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVHCVViralLoadCS.json	666	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVHIVTestHIVSelfTestUseCS.json	933	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18	35	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVHIVTestResultCS.json	761	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	17	38	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVHPVDosesReceivedCS.json	752	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	19	36	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVListStisCS.json	781	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVOAMTFormulationCS.json	681	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPEPExposureCS.json	677	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPEPNonOccupationalCS.json	712	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVPEPTypeOfVisitCS.json	701	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPMTCTTestTypeCS.json	976	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVPartnerHIVStatusCS.json	755	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPlaceOfDeliveryCS.json	737	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	18	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVPrepAdverseEffectCS.json	873	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	16	54	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPrepDosingTypeCS.json	686	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	35	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVPrepFormulationCS.json	826	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVPrepReasonDiscontinuationCS.json	905	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	52	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVProbableRouteOfTransmissionCS.json	1179	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	51	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVReasonForFollowUpCS.json	1190	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	52	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVSTATUSCS.json	878	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-HIVSTISyndromeAssignedCS.json	1112	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	18	44	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVSexAtBirthCS.json	699	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	37	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVTBDiagnosticTestCategoryCS.json	888	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	43	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVTBTestResultCS.json	761	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVTPTPreventiveTreatmentCS.json	1023	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	50	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVTPTRegimenCS.json	1368	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	32	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVTestProvisionCS.json	707	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVTestResultCS.json	724	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVTestTBStatusCS.json	742	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVTreatmentTreatmentStatusCS.json	979	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	1	0	0
